title,source_name,author,publishedAt,description,url,urlToImage
"OpenAI buys Sky, an AI interface for Mac - TechCrunch",TechCrunch,Sarah Perez,2025-10-23T20:53:02Z,"OpenAI has acquired Software Applications, Inc., the startup behind Sky — an AI-powered natural language interface for Mac that can view your screen and take actions in your apps.",https://techcrunch.com/2025/10/23/openai-buys-sky-an-ai-interface-for-mac/,"https://techcrunch.com/wp-content/uploads/2025/10/ArtCard_SKY_16_9.webp?resize=1200,677"
What happened to Apple's legendary attention to detail? - Hacker News,Hacker News,,2025-10-23T19:27:52Z,,https://news.ycombinator.com/item?id\\u003d45685551,
Microsoft makes Copilot “human-centered” with a ‘90s-style animated assistant - Ars Technica,Ars Technica,Andrew Cunningham,2025-10-23T18:48:52Z,“Mico” literally tries to put a face on Microsoft’s chatbot-turned-assistant.,https://arstechnica.com/gadgets/2025/10/microsoft-makes-copilot-human-centered-with-a-90s-style-animated-assistant/,https://cdn.arstechnica.net/wp-content/uploads/2025/10/Mico-1-1152x648.jpeg
Fallout: New Vegas 15th Anniversary Bundle Announced on Fallout Day — Here Are the Contents - IGN,IGN,Wesley Yin-Poole,2025-10-23T17:50:11Z,"Bethesda has used Fallout Day to announce the Fallout: New Vegas 15th Anniversary Bundle, which celebrates Obsidian’s much-loved post-apocalyptic role-playing game turning 15 years old. Check out the contents.",https://www.ign.com/articles/fallout-new-vegas-15th-anniversary-bundle-announced-on-fallout-day-here-are-the-contents,https://assets-prd.ignimgs.com/2025/10/23/ss-ac7dbb6b5d1353ec1e66110fe652883b957a70e3-1920x1080-1761223478793.jpg?width=1280&format=jpg&auto=webp&quality=80
Anthropic expands Claude memory to all paid users - Mashable,Google News,Mashable,2025-10-23T17:28:03Z,,https://news.google.com/rss/articles/CBMihAFBVV95cUxPY3hUOGFpX25mZnJ0M3pIM3VlOVhzSVJmXzRrei1mX3hYZlBKZDNtd20yN2VZQWUtRkZ6SDdiVF9kb2JYR1EwLWlTVDE2S2VKa1EtenlPZEgzTkR0b3hoX1V5VHlvbVBwQXpSX0FSRE11QXhFMmE2b19ncTA1SFp1MDZPSFI?oc=5,
